genre,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,running_time,imdb_score,bb_profit,bb_profit_score,bb_score,domestic_share,international_share
Action,145291843.2293233,250132058.07894737,395423901.3082707,47148306.481203005,3.77999999999998,110295864.66165413,5.9796992481202995,121.11583011583012,6.713157894736839,285128036.6466165,11.174036416888729,37.8218254918221,40.81041579873071,59.18958420126932
Adventure,167733498.40366971,257281738.09480122,425015236.49847096,43519922.66055046,3.779999999999979,110278899.08256881,7.064831804281342,108.04012345679013,6.693883792048926,314736337.41590214,12.334372085486043,38.634060459840235,43.72017813706277,56.2798218629372
Black,63058017.93333333,68522594.0,131580611.93333334,12008034.533333333,3.7800000000000007,41446666.666666664,5.88,117.13333333333334,7.1866666666666665,90133945.26666667,3.532307796359738,32.47261545745182,56.90134626822749,43.098653731772515
Comedy,86305146.76303318,58262759.76777251,144567906.53080568,21984901.492890995,3.779999999999982,40432227.48815166,6.22748815165877,104.28358208955224,6.274407582938388,104135679.04265402,4.081029293384505,32.85672050536917,65.13416989615088,34.865830103849206
Concert/Performance,73013910.0,26020215.0,99034125.0,29514054.0,3.78,13000000.0,4.4,105.0,1.6,86034125.0,3.3716377286202754,32.36014641003419,73.72601110980685,26.27398889019315
Drama,84616453.97276264,84470020.46692607,169086474.4396887,16879368.793774318,3.7799999999999803,40952723.73540856,7.049218749999999,125.14107883817428,7.169649805447471,128133750.70428015,5.021502667507523,33.515051867255266,58.96169362560561,41.038306374394416
Horror,77176379.39784946,83108601.75268817,160284981.15053764,26751709.93548387,3.7799999999999927,25437096.774193548,5.009677419354839,102.81395348837209,6.221505376344089,134847884.37634408,5.284626473366309,33.69923853135641,51.043414937922144,48.956585062077856
Musical,163889274.72727272,256828701.54545453,420717976.27272725,24387921.40909091,3.7800000000000007,82836363.63636364,8.236363636363636,114.15,6.990909090909091,337881612.6363636,13.241424759905739,39.26899733193401,46.078237664254,53.921762335746
Romantic,81785858.14285715,86871967.73015873,168657825.87301588,18834672.793650795,3.7800000000000007,39190476.190476194,6.720634920634921,110.08333333333333,6.407936507936507,129467349.68253969,5.07376579716624,33.55163605801637,52.011902325667435,47.98809767433257
Thriller/Suspense,95408584.84677419,128997716.80645162,224406301.6532258,25566756.491935484,3.779999999999988,54134239.71774194,6.116129032258064,116.19672131147541,6.850806451612903,170272061.93548387,6.672883674375085,34.67101857206255,49.24197623277982,50.75802376722017
Western,106730572.77777778,119999427.33333333,226730000.1111111,19142583.111111112,3.7800000000000002,72600000.0,8.044444444444444,138.55555555555554,7.3999999999999995,154130000.1111111,6.040283707039148,34.228198594927406,51.05316698305103,48.94683301694897
