title,poster_path
Artemis Fowl,/tI8ocADh22GtQFV28vGHaBZVb0U.jpg
Ad Astra,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg
Lost Bullet,/qnlChF8U4diiykXQYs1miigGy7t.jpg
Feel the Beat,/Af2jt7m9GLFpR4V11xOsFmT8OKD.jpg
Britt-Marie Was Here,/1Duc3EBiegywczxTWekvy03HWai.jpg
7500,/hL2uecLh2rTTbuVbOriXP0PhqIJ.jpg
Sonic the Hedgehog,/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg
Parasite,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
You Should Have Left,/2Gi9ZA4kRKKsWguUoTvIyj40dxF.jpg
Joker,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
The Invisible Man,/5EufsDwXdY2CVttYOk2WtYhgKpa.jpg
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg
The Hobbit: The Battle of the Five Armies,/xT98tLqatZPQApyRmlPL12LtiWp.jpg
Avengers: Infinity War,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Force of Nature,/ucktgbaMSaETUDLUBp1ubGD6aNj.jpg
Harry Potter and the Philosopher's Stone,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg
Da 5 Bloods,/yx4cp1ljJMDSFeEex0Zjv45b55E.jpg
Aladdin,/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg
1917,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg
Star Wars: The Rise of Skywalker,/db32LaOibwEliAmSL2jjDF6oDdj.jpg
