Name,Distributors,Mpaa rating,Genre,Opening weekend,Domestic box office,International box office,Worldwide box office,Synopsis,Link
Star Wars Ep. VII: The Force Awakens (2015),Lucasfilm/Bad Robot,PG-13,Adventure,"$247,966,675","$936,662,225","$1,131,561,399","$2,068,223,624","Rey, a scavenger from the planet Jakku, and renegade stormtrooper FN-2187 (nickname 'Finn') embark with resistance pilot Poe Dameron on a quest to destroy Starkiller Base and search for Luke Skywalker, the last remaining Jedi.",https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
Avengers: Endgame (2019),Marvel Studios,PG-13,Action,"$357,115,007","$858,373,000","$1,939,427,564","$2,797,800,564","The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, 'Avengers: Endgame.'",https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
Avatar (2009),Dune Entertainment/20th Century Fox/Ingenious Film Partners,PG-13,Action,"$77,025,481","$760,507,625","$2,028,193,712","$2,788,701,337","Jake Sully is a wounded ex-marine, thrust into an effort to settle and exploit Pandora, an exotic moon rich in bio-diversity and inhabited by the Na'vi, a ten-foot-tall humanoid species. After Neytiri, a female Na'vi, rescues Jake after he becomes separated from his team, he learns more about the planet and eventually crosses over to lead the indigenous race in a battle for survival.",https://www.the-numbers.com/movie/Avatar#tab=summary
Black Panther (2018),Marvel Studios,PG-13,Action,"$202,003,951","$700,059,566","$646,853,595","$1,346,913,161","King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakanadan special forces, to prevent Wakanda from being dragged into a world war.",https://www.the-numbers.com/movie/Black-Panther#tab=summary
Avengers: Infinity War (2018),Marvel Studios,PG-13,Action,"$257,698,183","$678,815,482","$1,369,544,272","$2,048,359,754","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment--the fate of Earth and existence itself has never been more uncertain. ",https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
Titanic (1997),United States,PG-13,Live Action,"$28,638,131","$659,363,944","$1,548,844,451","$2,208,208,395",,https://www.the-numbers.com/movie/Titanic-(1997)#tab=summary
Jurassic World (2015),Universal Pictures/Amblin Entertainment/Legendary Pictures,PG-13,Action,"$208,806,270","$652,270,625","$1,018,130,012","$1,670,400,637",Visitors at the Jurassic World theme park run for their lives when the genetically engineered Indominus Rex and other dinosaurs go on a rampage.,https://www.the-numbers.com/movie/Jurassic-World#tab=summary
The Avengers (2012),Marvel Studios/Paramount Pictures,PG-13,Action,"$207,438,708","$623,357,910","$895,455,078","$1,518,812,988"," When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins.",https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
Star Wars Ep. VIII: The Last Jedi (2017),Lucasfilm/Walt Disney Pictures,PG-13,Adventure,"$220,009,584","$620,181,382","$712,358,507","$1,332,539,889",The Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past. ,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary
Incredibles 2 (2018),Disney-Pixar,PG,Adventure,"$182,687,905","$608,581,744","$634,223,615","$1,242,805,359","Everyone's favorite family of superheroes is back, but this time Helen is in the spotlight, leaving Bob at home with Violet and Dash  to navigate the day-to-day heroics of 'normal' life. It's a tough transition for everyone, made tougher by the fact that the family is still unaware of baby Jack-Jack's emerging superpowers. When a new villain hatches a brilliant and dangerous plot, the family and Frozone must find a way to work together again--which is easier said than done, even when they're all Incredible.",https://www.the-numbers.com/movie/Incredibles-2#tab=summary
The Lion King (2019),Walt Disney Pictures/Fairview Entertainment,PG,Adventure,"$191,770,759","$543,638,043","$1,113,305,351","$1,656,943,394","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother--and former heir to the throne--has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary
The Dark Knight (2008),Legendary Pictures/Warner Bros./Syncopy,PG-13,Action,"$158,411,483","$535,234,033","$468,275,260","$1,003,509,293",,https://www.the-numbers.com/movie/Dark-Knight-The#tab=summary
Rogue One: A Star Wars Story (2016),Lucasfilm,PG-13,Adventure,"$155,081,681","$532,177,324","$523,879,949","$1,056,057,273","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction. This key event in the Star Wars timeline brings together ordinary people who choose to do extraordinary things, and in doing so, become part of something greater than themselves.",https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary
Star Wars: The Rise of Skywalker (2019),Lucasfilm/Bad Robot/Walt Disney Pictures,PG-13,Adventure,"$177,383,864","$515,202,542","$558,938,488","$1,074,141,030",No one's ever really gone... Rey's journey continues and the Skywalker saga concludes.,https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
Beauty and the Beast (2017),United States,PG,Animation/Live Action,"$174,750,616","$504,014,165","$759,506,961","$1,263,521,126","The fantastic journey of Belle, a bright, beautiful and independent young woman who is taken prisoner by a Beast in his castle. Despite her fears, she befriends the castle's enchanted staff and learns to look beyond the Beast's hideous exterior and realize the kind heart of the true Prince within. ",https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
Finding Dory (2016),Disney-Pixar,PG,Adventure,"$135,060,273","$486,295,561","$542,275,328","$1,028,570,889","Reunites the friendly-but-forgetful blue tang fish with her loved ones, and everyone learns a few things about the true meaning of family along the way. ",https://www.the-numbers.com/movie/Finding-Dory#tab=summary
Frozen II (2019),Walt Disney Animation Studios,PG,Adventure,"$130,263,358","$477,373,578","$972,647,557","$1,450,021,135","Why was Elsa born with magical powers? The answer is calling her and threatening her kingdom. Together with Anna, Kristoff, Olaf and Sven, she'll set out on a dangerous but remarkable journey. In 'Frozen,' Elsa feared her powers were too much for the world. In 'Frozen 2,' she must hope they are enough. ",https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
