name,year,domestic_box_office,international_box_office,worldwide_box_office
Star Wars Ep. IV: A New Hope,1977,460998007,314400000,775398007
Titanic,1997,659363944,1548622601,2207986545
E.T. the Extra-Terrestrial,1982,435110554,357852418,792962972
Star Wars Ep. VII: The Force Awakens,2015,936662225,1128815859,2065478084
Avatar,2009,760507625,2028193712,2788701337
Star Wars Ep. V: The Empire Strikes Back,1980,291738960,257286758,549025718
Avengers: Endgame,2019,858373000,1939427564,2797800564
Star Wars Ep. VI: Return of the Jedi,1983,309205079,165901098,475106177
Jurassic Park,1993,402523348,643049687,1045573035
The Lion King,1994,421785283,564429585,986214868
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Forrest Gump,1994,330151138,349687122,679838260
Raiders of the Lost Ark,1981,225686079,141766000,367452079
The Avengers,2012,623357910,891742301,1515100211
Jurassic World,2015,652270625,1017673342,1669943967
Black Panther,2018,700059566,636434755,1336494321
Close Encounters of the Third Kind,1977,169100479,171700000,340800479
Avengers: Infinity War,2018,678815482,1365725041,2044540523
The Dark Knight,2008,533720947,465713472,999434419
Grease,1978,181813770,205670127,387483897
Shrek 2,2004,441226247,494027731,935253978
Spider-Man,2002,403706375,418000000,821706375
Independence Day,1996,306169255,511231623,817400878
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Ghostbusters,1984,242212467,53000000,295212467
Beverly Hills Cop,1984,234760478,81539522,316300000
Home Alone,1990,285761243,190923432,476684675
Incredibles 2,2018,608581744,634223615,1242805359
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Batman,1989,251188924,160160000,411348924
Saturday Night Fever,1977,139486124,142913876,282400000
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Finding Nemo,2003,380529370,555565482,936094852
Rogue One: A Star Wars Story,2016,532177324,522958274,1055135598
National Lampoon's Animal House,1978,141600000,,
Spider-Man 2,2004,373524485,421173072,794697557
The Passion of the Christ,2004,370782930,251530705,622313635
The Lion King,2019,543638043,1110743891,1654381934
Star Wars Ep. III: Revenge of the Sith,2005,380270577,468728300,848998877
The Lord of the Rings: The Two Towers,2002,342548984,576599780,919148764
Back to the Future,1985,212259762,173262053,385521815
The Sixth Sense,1999,293506292,379300000,672806292
Tootsie,1982,177200000,,
Smokey and the Bandit,1977,126737428,,
The Dark Knight Rises,2012,448139099,634089008,1082228107
Star Wars: The Rise of Skywalker,2019,515202542,557741680,1072944222
Finding Dory,2016,486295561,538710564,1025006125
Beauty and the Beast,2017,504014165,752128924,1256143089
Harry Potter and the Sorcerer's Stone,2001,317871467,647182655,965054122
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985
Twister,1996,241688385,254011615,495700000
Superman,1978,134218018,165981982,300200000
Men in Black,1997,250690539,337100000,587790539
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
Transformers: Revenge of the Fallen,2009,402111870,434407829,836519699
Indiana Jones and the Temple of Doom,1984,179880271,153200000,333080271
Star Wars Ep. II: Attack of the Clones,2002,310676740,346018875,656695615
Mrs. Doubtfire,1993,219195051,222090952,441286003
Toy Story 3,2010,415004880,653874642,1068879522
Aladdin,1992,217350219,286700000,504050219
The Hunger Games: Catching Fire,2013,424668047,440200000,864868047
Frozen II,2019,477373578,969871008,1447244586
Ghost,1990,217631306,299968694,517600000
The Hunger Games,2012,408010692,269912687,677923379
Pirates of the Caribbean: The Curse of the Black Pearl,2003,305410819,348900000,654310819
Iron Man 3,2013,408992272,806400000,1215392272
The Lost World: Jurassic Park,1997,229086679,389552320,618638999
"Monsters, Inc.",2001,290149425,270334294,560483719
Indiana Jones and the Last Crusade,1989,197171806,277000000,474171806
Frozen,2013,400953009,867336243,1268289252
Spider-Man 3,2007,336530303,558329927,894860230
How the Grinch Stole Christmas,2000,260348825,85096578,345445403
Terminator 2: Judgment Day,1991,203464105,311926778,515390883
Harry Potter and the Deathly Hallows: Part II,2011,381193157,953199387,1334392544
Toy Story 2,1999,245852179,265506097,511358276
Top Gun,1986,179800601,176999033,356799634
Toy Story 4,2019,434038008,639319473,1073357481
Shrek,2001,267655011,224157783,491812794
Captain America: Civil War,2016,408084349,743834172,1151918521
Shrek the Third,2007,322719944,484610992,807330936
The Matrix Reloaded,2003,281553689,457023240,738576929
Captain Marvel,2019,426829839,702897549,1129727388
Crocodile Dundee,1986,174803506,153400000,328203506
Transformers,2007,319246193,389026399,708272592
Wonder Woman,2017,412563408,405494813,818058221
Jurassic World: Fallen Kingdom,2018,417719760,890614245,1308334005
Saving Private Ryan,1998,216335085,268700000,485035085
Despicable Me 2,2013,368065385,607151450,975216835
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,291710957,428828615,720539572
Harry Potter and the Goblet of Fire,2005,290201752,601592320,891794072
Harry Potter and the Chamber of Secrets,2002,262233381,614275424,876508805
Pirates of the Caribbean: At World's End,2007,309420425,654000000,963420425
Jumanji: Welcome to the Jungle,2017,404508916,556721277,961230193
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
The Fugitive,1993,183875760,169839557,353715317
Iron Man,2008,318604126,266567421,585171547
Meet the Fockers,2004,279167575,237400000,516567575
Indiana Jones and the Kingdom of the Crystal Skull,2008,317101119,469534294,786635413
Gremlins,1984,148168459,783533,148951992
Toy Story,1995,192523233,172747718,365270951
Star Wars Ep. IV: A New Hope,1977,460998007,314400000,775398007
Titanic,1997,659363944,1548622601,2207986545
E.T. the Extra-Terrestrial,1982,435110554,357852418,792962972
Star Wars Ep. VII: The Force Awakens,2015,936662225,1128815859,2065478084
Avatar,2009,760507625,2028193712,2788701337
Star Wars Ep. V: The Empire Strikes Back,1980,291738960,257286758,549025718
Avengers: Endgame,2019,858373000,1939427564,2797800564
Star Wars Ep. VI: Return of the Jedi,1983,309205079,165901098,475106177
Jurassic Park,1993,402523348,643049687,1045573035
The Lion King,1994,421785283,564429585,986214868
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Forrest Gump,1994,330151138,349687122,679838260
Raiders of the Lost Ark,1981,225686079,141766000,367452079
The Avengers,2012,623357910,891742301,1515100211
Jurassic World,2015,652270625,1017673342,1669943967
Black Panther,2018,700059566,636434755,1336494321
Close Encounters of the Third Kind,1977,169100479,171700000,340800479
Avengers: Infinity War,2018,678815482,1365725041,2044540523
The Dark Knight,2008,533720947,465713472,999434419
Grease,1978,181813770,205670127,387483897
Shrek 2,2004,441226247,494027731,935253978
Spider-Man,2002,403706375,418000000,821706375
Independence Day,1996,306169255,511231623,817400878
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Ghostbusters,1984,242212467,53000000,295212467
Beverly Hills Cop,1984,234760478,81539522,316300000
Home Alone,1990,285761243,190923432,476684675
Incredibles 2,2018,608581744,634223615,1242805359
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Batman,1989,251188924,160160000,411348924
Saturday Night Fever,1977,139486124,142913876,282400000
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Finding Nemo,2003,380529370,555565482,936094852
Rogue One: A Star Wars Story,2016,532177324,522958274,1055135598
National Lampoon's Animal House,1978,141600000,,
Spider-Man 2,2004,373524485,421173072,794697557
The Passion of the Christ,2004,370782930,251530705,622313635
The Lion King,2019,543638043,1110743891,1654381934
Star Wars Ep. III: Revenge of the Sith,2005,380270577,468728300,848998877
The Lord of the Rings: The Two Towers,2002,342548984,576599780,919148764
Back to the Future,1985,212259762,173262053,385521815
The Sixth Sense,1999,293506292,379300000,672806292
Tootsie,1982,177200000,,
Smokey and the Bandit,1977,126737428,,
The Dark Knight Rises,2012,448139099,634089008,1082228107
Star Wars: The Rise of Skywalker,2019,515202542,557741680,1072944222
Finding Dory,2016,486295561,538710564,1025006125
Beauty and the Beast,2017,504014165,752128924,1256143089
Harry Potter and the Sorcerer's Stone,2001,317871467,647182655,965054122
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985
Twister,1996,241688385,254011615,495700000
Superman,1978,134218018,165981982,300200000
Men in Black,1997,250690539,337100000,587790539
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
Transformers: Revenge of the Fallen,2009,402111870,434407829,836519699
Indiana Jones and the Temple of Doom,1984,179880271,153200000,333080271
Star Wars Ep. II: Attack of the Clones,2002,310676740,346018875,656695615
Mrs. Doubtfire,1993,219195051,222090952,441286003
Toy Story 3,2010,415004880,653874642,1068879522
Aladdin,1992,217350219,286700000,504050219
The Hunger Games: Catching Fire,2013,424668047,440200000,864868047
Frozen II,2019,477373578,969871008,1447244586
Ghost,1990,217631306,299968694,517600000
The Hunger Games,2012,408010692,269912687,677923379
