name,year,domestic_box_office,international_box_office,worldwide_box_office
Frozen II,2019,477373578,970178174,1447551752
Frozen,2013,400738009,868008165,1268746174
Minions,2015,336045770,823585370,1159631140
Despicable Me 3,2017,264624300,770004455,1034628755
Ne Zha Zhi Mo Tong Jiang Shi,2019,3695533,721413600,725109133
Ice Age: Continental Drift,2012,161321843,718443294,879765137
Zootopia,2016,341268248,682515947,1023784195
Ice Age: Dawn of the Dinosaurs,2009,196573705,663128152,859701857
Toy Story 3,2010,415004880,653874642,1068879522
Toy Story 4,2019,434038008,639356805,1073394813
Incredibles 2,2018,608581744,634223615,1242805359
Despicable Me 2,2013,368065385,607151450,975216835
Coco,2017,209726015,590250000,799976015
The Lion King,1994,421785283,564429585,986214868
Finding Nemo,2003,380529370,555651641,936181011
Finding Dory,2016,486295561,539068066,1025363627
Madagascar 3: Europe's Most Wanted,2012,216391482,530529789,746921271
The Secret Life of Pets,2016,368384330,518222082,886606412
Shrek Forever After,2010,238736787,517507886,756244673
Inside Out,2015,356461711,501100000,857561711
Kung Fu Panda 2,2011,165249063,499588484,664837547
Shrek 2,2004,441226247,494027731,935253978
Shrek the Third,2007,322719944,484610992,807330936
Monsters University,2013,268488329,475100000,743588329
Ice Age: The Meltdown,2006,195330621,456568661,651899282
Up,2009,293004164,438459213,731463377
How to Train Your Dragon 2,2014,177002924,437583346,614586270
Big Hero 6,2014,222527828,429600000,652127828
Ratatouille,2007,206445654,420104041,626549695
Madagascar: Escape 2 Africa,2008,180174880,419505894,599680774
Kung Fu Panda,2008,215434591,416475940,631910531
Puss in Boots,2011,149260504,405726973,554987477
Moana,2016,248757044,388170023,636927067
The Croods,2013,187168425,385900000,573068425
Tangled,2010,200821936,384905155,585727091
Kung Fu Panda 3,2016,143528619,377642206,521170825
The Incredibles,2004,261441092,370000000,631441092
Cars 2,2011,191450875,368704508,560155383
Sing,2016,270329045,364125744,634454789
Madagascar,2005,193595521,362964045,556559566
How to Train Your Dragon: The Hidden World,2019,160799505,361389633,522189138
Rio 2,2014,131538435,361307856,492846291
Hotel Transylvania 3: Summer Vacation,2018,167500092,359593530,527093622
Kimi no na wa,2016,5000181,353342042,358342223
The Boss Baby,2017,175003033,352962903,527965936
The Simpsons Movie,2007,183135014,343936008,527071022
Rio,2011,143619809,343900000,487519809
Ice Age: Collision Course,2016,64063008,338093674,402156682
Ralph Breaks The Internet,2018,201091711,328199119,529290830
Brave,2012,237282182,317324350,554606532
WALL-E,2008,223808164,308699861,532508025
Wreck-It Ralph,2012,189412677,307098844,496511521
Hotel Transylvania 2,2015,169700110,299800188,469500298
The Adventures of Tintin,2011,77591831,296402120,373993951
Despicable Me,2010,251513985,291950588,543464573
Aladdin,1992,217350219,286700000,504050219
Penguins of Madagascar,2014,83350911,283591620,366942531
How to Train Your Dragon,2010,217581232,277289760,494870992
Tarzan,1999,171091819,277100000,448191819
The Secret Life of Pets 2,2019,158874395,275565120,434439515
"Monsters, Inc.",2001,289423425,270334294,559757719
Toy Story 2,1999,245852179,265506097,511358276
Sen to Chihiro no Kamikakushi,2002,10049886,263029296,273079182
The Angry Birds Movie,2016,107509366,244818521,352327887
Dr. Seuss' The Grinch,2018,270620950,241048559,511669509
Hauru no ugoku shiro,2005,4710455,233103872,237814327
Beauty and the Beast,1991,206333165,232373866,438707031
Cars 3,2017,152901115,230640254,383541369
Hotel Transylvania,2012,148313048,230192764,378505812
The Hunchback of Notre Dame,1996,100138851,225361149,325500000
Shrek,2001,267655011,224157783,491812794
Dinosaur,2000,137748063,218400000,356148063
Cars,2006,244082982,217568264,461651246
Bolt,2008,114053579,213961450,328015029
The Good Dinosaur,2015,123087120,210683917,333771037
Shark Tale,2004,161412000,210505043,371917043
The Lego Movie,2014,257784718,210300000,468084718
Ice Age,2002,176387405,209728938,386116343
Home,2015,177397510,208600386,385997896
Pocahontas,1995,141579773,205520227,347100000
Ferdinand,2017,84410380,205428533,289838913
Turbo,2013,83028130,203868448,286896578
Rise of the Guardians,2012,103412758,203488144,306900902
A Bug's Life,1998,162798565,200296754,363095319
Trolls,2016,153707064,190443070,344150134
Gake no ue no Ponyo,2009,15090399,190222267,205312666
Over the Hedge,2006,155019340,188377907,343397247
Happy Feet,2006,198000317,187000000,385000317
Spider-Man: Into The Spider-Verse 3D,2018,190173195,184377826,374551021
Monsters vs. Aliens,2009,198351526,183335854,381687380
Mulan,1998,120620254,182879746,303500000
Tenki no Ko,2019,7798703,182065808,189864511
Cinderella,1950,85000000,178591415,263591415
Disney's A Christmas Carol,2009,137855863,177853834,315709697
Chicken Little,2005,135386665,174657158,310043823
Megamind,2010,148415853,173471355,321887208
Toy Story,1995,191796233,172747718,364543951
Xi you ji zhi da sheng gui lai,2015,n/a,166968128,166968128
The Princess and the Frog,2009,104400899,166596479,270997378
Bambi,1942,102797000,165203000,268000000
Frozen II,2019,477373578,970178174,1447551752
Frozen,2013,400738009,868008165,1268746174
Minions,2015,336045770,823585370,1159631140
Despicable Me 3,2017,264624300,770004455,1034628755
Ne Zha Zhi Mo Tong Jiang Shi,2019,3695533,721413600,725109133
Ice Age: Continental Drift,2012,161321843,718443294,879765137
Zootopia,2016,341268248,682515947,1023784195
Ice Age: Dawn of the Dinosaurs,2009,196573705,663128152,859701857
Toy Story 3,2010,415004880,653874642,1068879522
Toy Story 4,2019,434038008,639356805,1073394813
Incredibles 2,2018,608581744,634223615,1242805359
Despicable Me 2,2013,368065385,607151450,975216835
Coco,2017,209726015,590250000,799976015
The Lion King,1994,421785283,564429585,986214868
Finding Nemo,2003,380529370,555651641,936181011
Finding Dory,2016,486295561,539068066,1025363627
Madagascar 3: Europe's Most Wanted,2012,216391482,530529789,746921271
The Secret Life of Pets,2016,368384330,518222082,886606412
