name,year,domestic_box_office,international_box_office,worldwide_box_office
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399,2068223624
Avengers: Endgame,2019,858373000,1939427564,2797800564
Avatar,2009,760507625,2028193712,2788701337
Black Panther,2018,700059566,646043810,1346103376
Avengers: Infinity War,2018,678815482,1369544272,2048359754
Titanic,1997,659363944,1548844451,2208208395
Jurassic World,2015,652270625,1018130012,1670400637
The Avengers,2012,623357910,891742301,1515100211
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Incredibles 2,2018,608581744,634223615,1242805359
The Lion King,2019,543638043,1113305351,1656943394
The Dark Knight,2008,533720947,468275260,1001996207
Rogue One: A Star Wars Story,2016,532177324,523879949,1056057273
Star Wars: The Rise of Skywalker,2019,515202542,558267058,1073469600
Beauty and the Beast,2017,504014165,759190335,1263204500
Finding Dory,2016,486295561,539068066,1025363627
Frozen II,2019,477373578,970178174,1447551752
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Star Wars Ep. IV: A New Hope,1977,460998007,314400000,775398007
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
The Dark Knight Rises,2012,448139099,636300000,1084439099
Shrek 2,2004,441226247,494027731,935253978
ET: The Extra-Terrestrial,1982,435110554,357854772,792965326
Toy Story 4,2019,434038008,639356805,1073394813
Captain Marvel,2019,426829839,702900000,1129729839
The Hunger Games: Catching Fire,2013,424668047,440200000,864868047
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
The Lion King,1994,421785283,564429585,986214868
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988
Toy Story 3,2010,415004880,653874642,1068879522
Wonder Woman,2017,412563408,408569970,821133378
Iron Man 3,2013,408992272,806400000,1215392272
Captain America: Civil War,2016,408084349,745200000,1153284349
The Hunger Games,2012,408010692,269912687,677923379
Jumanji: Welcome to the Jungle,2017,404508916,559987277,964496193
Spider-Man,2002,403706375,418000000,821706375
Jurassic Park,1993,402523348,643104279,1045627627
Transformers: Revenge of the Fallen,2009,402111870,434407829,836519699
Frozen,2013,400738009,868008165,1268746174
Spider-Man: Far From Home,2019,390532085,738232771,1128764856
Guardians of the Galaxy Vol 2,2017,389813101,479300000,869113101
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960463516,1341656673
Finding Nemo,2003,380529370,555651641,936181011
Star Wars Ep. III: Revenge of the Sith,2005,380270577,468728300,848998877
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Spider-Man 2,2004,373524485,421173072,794697557
The Passion of the Christ,2004,370782930,251558190,622341120
The Secret Life of Pets,2016,368384330,518222082,886606412
Despicable Me 2,2013,368065385,607151450,975216835
The Jungle Book,2016,364001123,598853424,962854547
Deadpool,2016,363070709,421954884,785025593
Inside Out,2015,356461711,501100000,857561711
Aladdin,2019,355559216,695400000,1050959216
Furious 7,2015,353007020,1165715774,1518722794
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
American Sniper,2014,350126372,197200000,547326372
The Lord of the Rings: The Two Towers,2002,342548984,585049265,927598249
Zootopia,2016,341268248,682515947,1023784195
The Hunger Games: Mockingjay - Part 1,2014,337135885,429439246,766575131
Spider-Man 3,2007,336530303,558329927,894860230
Minions,2015,336045770,823585370,1159631140
Joker,2019,335451311,737346539,1072797850
Aquaman,2018,335061807,808904713,1143966520
Spider-Man: Homecoming,2017,334201140,545965210,880166350
Alice in Wonderland,2010,334191110,691300000,1025491110
Guardians of the Galaxy,2014,333172112,439600000,772772112
Batman v Superman: Dawn of Justice,2016,330360194,542034897,872395091
Forrest Gump,1994,330151138,349687122,679838260
It,2017,328828874,372891173,701720047
Suicide Squad,2016,325100054,421746840,746846894
