name,year,domestic_box_office,international_box_office,worldwide_box_office
Avengers: Endgame,2019,858373000,1939427564,2797800564
Avatar,2009,760507625,2028193712,2788701337
Titanic,1997,659363944,1548844451,2208208395
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399,2068223624
Avengers: Infinity War,2018,678815482,1369544272,2048359754
Jurassic World,2015,652270625,1018130012,1670400637
The Lion King,2019,543638043,1113305351,1656943394
Furious 7,2015,353007020,1165715774,1518722794
The Avengers,2012,623357910,891742301,1515100211
Frozen II,2019,477373578,970178174,1447551752
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
Black Panther,2018,700059566,646043810,1346103376
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960463516,1341656673
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988
Frozen,2013,400738009,868008165,1268746174
Beauty and the Beast,2017,504014165,759190335,1263204500
Incredibles 2,2018,608581744,634223615,1242805359
The Fate of the Furious,2017,225764765,1013000000,1238764765
Iron Man 3,2013,408992272,806400000,1215392272
Minions,2015,336045770,823585370,1159631140
Captain America: Civil War,2016,408084349,745200000,1153284349
Aquaman,2018,335061807,808904713,1143966520
Captain Marvel,2019,426829839,702900000,1129729839
Spider-Man: Far From Home,2019,390532085,738232771,1128764856
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Skyfall,2012,304360277,806166704,1110526981
Transformers: Age of Extinction,2014,245439076,858614996,1104054072
The Dark Knight Rises,2012,448139099,636300000,1084439099
Star Wars: The Rise of Skywalker,2019,515202542,558267058,1073469600
Toy Story 4,2019,434038008,639356805,1073394813
Joker,2019,335451311,737346539,1072797850
Toy Story 3,2010,415004880,653874642,1068879522
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Rogue One: A Star Wars Story,2016,532177324,523879949,1056057273
Aladdin,2019,355559216,695400000,1050959216
Pirates of the Caribbean: On Stranger Tides,2011,241063875,804600000,1045663875
Jurassic Park,1993,402523348,643104279,1045627627
Despicable Me 3,2017,264624300,770004455,1034628755
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Alice in Wonderland,2010,334191110,691300000,1025491110
Finding Dory,2016,486295561,539068066,1025363627
Zootopia,2016,341268248,682515947,1023784195
The Hobbit: An Unexpected Journey,2012,303003568,714000000,1017003568
The Dark Knight,2008,533720947,468275260,1001996207
The Lion King,1994,421785283,564429585,986214868
Despicable Me 2,2013,368065385,607151450,975216835
Harry Potter and the Sorcerer's Stone,2001,317871467,657176139,975047606
Jumanji: Welcome to the Jungle,2017,404508916,559987277,964496193
Pirates of the Caribbean: At World's End,2007,309420425,654000000,963420425
The Jungle Book,2016,364001123,598853424,962854547
Harry Potter and the Deathly Hallows: Part I,2010,296131568,664300000,960431568
The Hobbit: The Desolation of Smaug,2013,258241522,702000000,960241522
The Hobbit: The Battle of the Five Armies,2014,255119788,690457833,945577621
Harry Potter and the Order of the Phoenix,2007,292137260,650939197,943076457
Finding Nemo,2003,380529370,555651641,936181011
Shrek 2,2004,441226247,494027731,935253978
Harry Potter and the Half-Blood Prince,2009,302089278,633124489,935213767
The Lord of the Rings: The Two Towers,2002,342548984,585049265,927598249
Bohemian Rhapsody,2018,216303339,687210002,903513341
Harry Potter and the Goblet of Fire,2005,290201752,606898042,897099794
Spider-Man 3,2007,336530303,558329927,894860230
The Lord of the Rings: The Fellowship of the Ring,2001,315544750,571666235,887210985
The Secret Life of Pets,2016,368384330,518222082,886606412
Spider-Man: Homecoming,2017,334201140,545965210,880166350
Ice Age: Continental Drift,2012,161321843,718443294,879765137
Spectre,2015,200074175,679546748,879620923
Harry Potter and the Chamber of Secrets,2002,262233381,616991754,879225135
Batman v Superman: Dawn of Justice,2016,330360194,542034897,872395091
Guardians of the Galaxy Vol 2,2017,389813101,479300000,869113101
The Hunger Games: Catching Fire,2013,424668047,440200000,864868047
Ice Age: Dawn of the Dinosaurs,2009,196573705,663128152,859701857
Inside Out,2015,356461711,501100000,857561711
Thor: Ragnarok,2017,315058289,538900000,853958289
Venom,2018,213511408,640117197,853628605
Star Wars Ep. III: Revenge of the Sith,2005,380270577,468728300,848998877
Transformers: Revenge of the Fallen,2009,402111870,434407829,836519699
Inception,2010,292576195,539975766,832551961
Zhan Lang 2,2017,2721100,828073071,830794171
"The Twilight Saga: Breaking Dawn, Part 2",2012,292324737,537400000,829724737
Spider-Man,2002,403706375,418000000,821706375
Wonder Woman,2017,412563408,408569970,821133378
Independence Day,1996,306169255,511231623,817400878
Fantastic Beasts and Where to Find Them,2016,234037575,580000000,814037575
Shrek the Third,2007,322719944,484610992,807330936
Coco,2017,209726015,590250000,799976015
Harry Potter and the Prisoner of Azkaban,2004,249757726,545858611,795616337
Jumanji: The Next Level,2019,316831246,478526375,795357621
Spider-Man 2,2004,373524485,421173072,794697557
ET: The Extra-Terrestrial,1982,435110554,357854772,792965326
Fast and Furious 6,2013,238679850,550620594,789300444
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172558876,615682261,788241137
Mission: ImpossibleâFallout,2018,220159104,567297448,787456552
Deadpool 2,2018,324591735,462088822,786680557
Indiana Jones and the Kingdom of the Crystal Skull,2008,317101119,469534294,786635413
Deadpool,2016,363070709,421954884,785025593
Star Wars Ep. IV: A New Hope,1977,460998007,314400000,775398007
Guardians of the Galaxy,2014,333172112,439600000,772772112
The Da Vinci Code,2006,217536138,550284321,767820459
Avengers: Endgame,2019,858373000,1939427564,2797800564
Avatar,2009,760507625,2028193712,2788701337
Titanic,1997,659363944,1548844451,2208208395
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399,2068223624
Avengers: Infinity War,2018,678815482,1369544272,2048359754
Jurassic World,2015,652270625,1018130012,1670400637
The Lion King,2019,543638043,1113305351,1656943394
Furious 7,2015,353007020,1165715774,1518722794
The Avengers,2012,623357910,891742301,1515100211
Frozen II,2019,477373578,970178174,1447551752
Avengers: Age of Ultron,2015,459005868,937093334,1396099202
Black Panther,2018,700059566,646043810,1346103376
Harry Potter and the Deathly Hallows: Part II,2011,381193157,960463516,1341656673
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507,1332539889
Jurassic World: Fallen Kingdom,2018,417719760,890751228,1308470988
Frozen,2013,400738009,868008165,1268746174
Beauty and the Beast,2017,504014165,759190335,1263204500
Incredibles 2,2018,608581744,634223615,1242805359
The Fate of the Furious,2017,225764765,1013000000,1238764765
Iron Man 3,2013,408992272,806400000,1215392272
Minions,2015,336045770,823585370,1159631140
Captain America: Civil War,2016,408084349,745200000,1153284349
Aquaman,2018,335061807,808904713,1143966520
Captain Marvel,2019,426829839,702900000,1129729839
Spider-Man: Far From Home,2019,390532085,738232771,1128764856
Transformers: Dark of the Moon,2011,352390543,771403536,1123794079
The Lord of the Rings: The Return of the King,2003,377845905,742378141,1120224046
Skyfall,2012,304360277,806166704,1110526981
Transformers: Age of Extinction,2014,245439076,858614996,1104054072
The Dark Knight Rises,2012,448139099,636300000,1084439099
Star Wars: The Rise of Skywalker,2019,515202542,558267058,1073469600
Toy Story 4,2019,434038008,639356805,1073394813
Joker,2019,335451311,737346539,1072797850
Toy Story 3,2010,415004880,653874642,1068879522
Pirates of the Caribbean: Dead Man's Chest,2006,423315812,642900000,1066215812
Rogue One: A Star Wars Story,2016,532177324,523879949,1056057273
Aladdin,2019,355559216,695400000,1050959216
Pirates of the Caribbean: On Stranger Tides,2011,241063875,804600000,1045663875
Jurassic Park,1993,402523348,643104279,1045627627
Despicable Me 3,2017,264624300,770004455,1034628755
Star Wars Ep. I: The Phantom Menace,1999,474544677,552500000,1027044677
Alice in Wonderland,2010,334191110,691300000,1025491110
Finding Dory,2016,486295561,539068066,1025363627
