name,link
Halloween Kills,https://www.the-numbers.com/movie/Halloween-Kills-(2021)#tab=box-office
No Time to Die,https://www.the-numbers.com/movie/No-Time-to-Die-(2021)#tab=box-office
Venom: Let There be C…,https://www.the-numbers.com/movie/Venom-Let-There-be-Carnage#tab=box-office
The Addams Family 2,https://www.the-numbers.com/movie/Addams-Family-2-The#tab=box-office
The Last Duel,https://www.the-numbers.com/movie/Last-Duel-The#tab=box-office
Shang-Chi and the Leg…,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=box-office
Lamb,https://www.the-numbers.com/movie/Lamb-(Iceland-2021)#tab=box-office
Free Guy,https://www.the-numbers.com/movie/Free-Guy-(2020)#tab=box-office
Candyman,https://www.the-numbers.com/movie/Candyman-(2020)#tab=box-office
Dear Evan Hansen,https://www.the-numbers.com/movie/Dear-Evan-Hansen#tab=box-office
The Many Saints of Ne…,https://www.the-numbers.com/movie/Many-Saints-of-Newark-The-(2020)#tab=box-office
Titane,https://www.the-numbers.com/movie/Titane-(France)#tab=box-office
Jungle Cruise,https://www.the-numbers.com/movie/Jungle-Cruise-(2021)#tab=box-office
Cry Macho,https://www.the-numbers.com/movie/Cry-Macho-(2021)#tab=box-office
Bergman Island,https://www.the-numbers.com/movie/Bergman-Island-(France)#tab=box-office
After We Fell,https://www.the-numbers.com/movie/After-We-Fell-(2021)#tab=box-office
The Jesus Music,https://www.the-numbers.com/movie/Jesus-Music-The-(2021)#tab=box-office
Hard Luck Love Song,https://www.the-numbers.com/movie/Hard-Luck-Love-Song-(2021)#tab=box-office
Mass,https://www.the-numbers.com/movie/Mass-(2021)#tab=box-office
Iâm Your Man,https://www.the-numbers.com/movie/Im-Your-Man-(2021-Germany)#tab=box-office
The Eyes of Tammy Faye,https://www.the-numbers.com/movie/Eyes-of-Tammy-Faye-The-(2021)#tab=box-office
Malignant,https://www.the-numbers.com/movie/Malignant#tab=box-office
Respect,https://www.the-numbers.com/movie/Respect-(2020)#tab=box-office
DÃ©licieux,https://www.the-numbers.com/movie/Delicieux-(2021-France)#tab=box-office
Luzzu,https://www.the-numbers.com/movie/Luzzu-(2021-Malta)#tab=box-office
The Boss Baby: Family…,https://www.the-numbers.com/movie/Boss-Baby-Family-Business-The-(2021)#tab=box-office
The Alpinist,https://www.the-numbers.com/movie/Alpinist-The-(2021-Documentary)#tab=box-office
Wife of a Spy,https://www.the-numbers.com/movie/Spy-no-Tsuma-(2020-Japan)#tab=box-office
Golden Voices,https://www.the-numbers.com/movie/Golden-Voices-(2020-Israel)#tab=box-office
Ascension (ç»æ¥¼å¹),https://www.the-numbers.com/movie/Ascension-(2021-China)#tab=box-office
Azor,https://www.the-numbers.com/movie/Azor-(2021-France)#tab=box-office
Tango Shalom,https://www.the-numbers.com/movie/Tango-Shalom-(2021)#tab=box-office
Falling for Figaro,https://www.the-numbers.com/movie/Falling-for-Figaro-(2021-Australia)#tab=box-office
On Broadway,https://www.the-numbers.com/movie/On-Broadway-(2021)#tab=box-office
Petite fille,https://www.the-numbers.com/movie/Petite-fille-(2020-France)#tab=box-office
Ema,https://www.the-numbers.com/movie/Ema-(Chile)#tab=box-office
