link,name
https://www.the-numbers.com/movie/Terminator-2-Judgment-Day#tab=summary,Terminator 2: Judgment Day
https://www.the-numbers.com/movie/Beauty-and-the-Beast-(1991)#tab=summary,Beauty and the Beast
https://www.the-numbers.com/movie/Robin-Hood-Prince-of-Thieves#tab=summary,Robin Hood: Prince of Thieves
https://www.the-numbers.com/movie/Hook#tab=summary,Hook
https://www.the-numbers.com/movie/Silence-of-the-Lambs-The#tab=summary,The Silence of the Lambs
https://www.the-numbers.com/movie/JFK-(1991)#tab=summary,JFK
https://www.the-numbers.com/movie/Addams-Family-The#tab=summary,The Addams Family
https://www.the-numbers.com/movie/Cape-Fear#tab=summary,Cape Fear
https://www.the-numbers.com/movie/Hot-Shots#tab=summary,Hot Shots!
https://www.the-numbers.com/movie/Sleeping-with-the-Enemy#tab=summary,Sleeping with the Enemy
https://www.the-numbers.com/movie/Backdraft-(1991)#tab=summary,Backdraft
https://www.the-numbers.com/movie/City-Slickers#tab=summary,City Slickers
https://www.the-numbers.com/movie/Star-Trek-VI-The-Undiscovered-Country#tab=summary,Star Trek VI: The Undiscovered Country
https://www.the-numbers.com/movie/Father-of-the-Bride#tab=summary,Father of the Bride
https://www.the-numbers.com/movie/Naked-Gun-2-1-2-The-Smell-of-Fear-The#tab=summary,The Naked Gun 2Â½: The Smell of Fear
https://www.the-numbers.com/movie/Point-Break#tab=summary,Point Break
https://www.the-numbers.com/movie/Dying-Young#tab=summary,Dying Young
https://www.the-numbers.com/movie/Fried-Green-Tomatoes-(1991)#tab=summary,Fried Green Tomatoes
https://www.the-numbers.com/movie/Teenage-Mutant-Ninja-Turtles-II-The-Secret-of-the-Ooze#tab=summary,Teenage Mutant Ninja Turtles II: The Secret of …
https://www.the-numbers.com/movie/Prince-of-Tides-The#tab=summary,The Prince of Tides
https://www.the-numbers.com/movie/Antarctica-(1991-IMAX)#tab=summary,Antarctica
https://www.the-numbers.com/movie/Hard-Way-The#tab=summary,The Hard Way
https://www.the-numbers.com/movie/What-About-Bob#tab=summary,What About Bob?
https://www.the-numbers.com/movie/Last-Boy-Scout-The#tab=summary,The Last Boy Scout
https://www.the-numbers.com/movie/My-Girl#tab=summary,My Girl
https://www.the-numbers.com/movie/Boyz-n-the-Hood#tab=summary,Boyz n the Hood
https://www.the-numbers.com/movie/Doc-Hollywood#tab=summary,Doc Hollywood
https://www.the-numbers.com/movie/Bugsy#tab=summary,Bugsy
https://www.the-numbers.com/movie/New-Jack-City#tab=summary,New Jack City
https://www.the-numbers.com/movie/Rocketeer-The#tab=summary,The Rocketeer
https://www.the-numbers.com/movie/Thelma-and-Louise#tab=summary,Thelma & Louise
https://www.the-numbers.com/movie/Regarding-Henry#tab=summary,Regarding Henry
https://www.the-numbers.com/movie/Fisher-King-The-(1991)#tab=summary,The Fisher King
https://www.the-numbers.com/movie/Grand-Canyon#tab=summary,Grand Canyon
https://www.the-numbers.com/movie/Out-for-Justice#tab=summary,Out for Justice
https://www.the-numbers.com/movie/Dead-Again#tab=summary,Dead Again
https://www.the-numbers.com/movie/Bill-and-Teds-Bogus-Journey#tab=summary,Bill & Ted's Bogus Journey
https://www.the-numbers.com/movie/Doctor-The#tab=summary,The Doctor
https://www.the-numbers.com/movie/Soapdish#tab=summary,Soapdish
https://www.the-numbers.com/movie/Other-Peoples-Money#tab=summary,Other People's Money
https://www.the-numbers.com/movie/Freddys-Dead-The-Final-Nightmare#tab=summary,Freddyâs Dead: The Final Nightmare
https://www.the-numbers.com/movie/White-Fang#tab=summary,White Fang
https://www.the-numbers.com/movie/Doors-The#tab=summary,The Doors
https://www.the-numbers.com/movie/Curly-Sue#tab=summary,Curly Sue
https://www.the-numbers.com/movie/King-Ralph#tab=summary,King Ralph
